데이터셋,채널,충방전기,용량(mAh),총사이클,RPT,Rss,가속수명,GITT,initial,unknown,시험종류,RPT주기,스케줄패턴,에러,경로
M1 ATL [45V 4175mAh],9,Toyo,4175,435,5,0,430,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×34,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\9
M1 ATL [45V 4175mAh],99,Toyo,4175,443,5,0,438,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×42,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\99
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,11,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\11
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,23,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\23
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,24,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\24
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,33,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\33
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,36,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\36
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,38,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\38
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,50,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\50
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,52,Toyo,1689,1001,11,0,990,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\52
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,54,Toyo,1689,1001,11,0,990,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\54
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,55,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\55
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,56,Toyo,1689,1001,11,0,990,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\56
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,58,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\58
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,59,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\59
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,60,Toyo,1689,1000,11,0,989,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\60
Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304,81,Toyo,1689,800,9,0,791,0,0,0,가속수명 시험,100,RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Q7M Inner ATL_45V 1689mAh BLK1 20EA [23] - 250304\81
